date,team,o:team,site,field goals attempted,field goals made,field goal %,free throws attempted,free throws made,free throw %,three pointers attempted,three pointers made,three point %,assists,blocks,rebounds,steals,turnovers,line,margin,ats outcome,total,ou margin,ou outcome,streak
20191022,Clippers,Lakers,home,81,42,51.85185185185185,24,17,70.83333333333334,31,11,35.483870967741936,24,5,45,8,14,1.5,10,1,224.0,-10.0,U,0
20191022,Lakers,Clippers,away,85,37,43.529411764705884,21,15,71.42857142857143,33,13,39.39393939393939,20,7,41,4,14,-1.5,-10,0,224.0,-10.0,U,0
20191022,Raptors,Pelicans,home,103,42,40.77669902912621,38,32,84.21052631578947,40,14,35.0,23,3,57,7,16,-7.0,8,1,231.5,20.5,O,0
20191022,Pelicans,Raptors,away,102,43,42.15686274509804,20,17,85.0,45,19,42.22222222222222,30,9,53,4,19,7.0,-8,0,231.5,20.5,O,0
20191023,Heat,Grizzlies,home,85,40,47.05882352941176,39,33,84.61538461538461,18,7,38.88888888888889,18,8,51,9,21,-8.0,19,1,214.0,7.0,O,0
20191023,Grizzlies,Heat,away,89,38,42.69662921348314,30,20,66.66666666666666,32,5,15.625,22,7,40,9,24,8.0,-19,0,214.0,7.0,O,0
20191023,Hornets,Bulls,home,88,45,51.13636363636363,16,13,81.25,44,23,52.27272727272727,28,4,41,3,19,3.5,1,0,219.0,32.0,O,0
20191023,Bulls,Hornets,away,105,49,46.666666666666664,22,18,81.81818181818183,30,9,30.0,25,4,49,11,10,-3.5,-1,1,219.0,32.0,O,0
20191023,Jazz,Thunder,home,90,40,44.44444444444444,20,14,70.0,24,6,25.0,15,5,49,4,11,-9.0,5,1,221.5,-26.5,U,0
20191023,Thunder,Jazz,away,83,32,38.55421686746988,31,21,67.74193548387096,27,10,37.03703703703704,15,4,48,5,13,9.0,-5,0,221.5,-26.5,U,0
20191023,Magic,Cavaliers,home,86,37,43.02325581395349,19,11,57.89473684210527,30,9,30.0,24,4,46,12,13,-9.5,9,1,211.5,-32.5,U,0
20191023,Cavaliers,Magic,away,89,33,37.07865168539326,15,10,66.66666666666666,34,9,26.47058823529412,20,2,54,8,16,9.5,-9,0,211.5,-32.5,U,0
20191023,Mavericks,Wizards,home,76,35,46.05263157894737,33,27,81.81818181818183,36,11,30.555555555555557,17,5,46,6,19,-8.5,8,1,220.0,-12.0,U,0
20191023,Wizards,Mavericks,away,93,37,39.784946236559136,18,15,83.33333333333334,41,11,26.82926829268293,26,3,47,6,17,8.5,-8,0,220.0,-12.0,U,0
20191023,Nets,Timberwolves,home,101,48,47.524752475247524,26,15,57.692307692307686,34,15,44.11764705882353,19,9,48,8,16,-3.5,-1,1,230.0,23.0,O,0
20191023,Timberwolves,Nets,away,108,46,42.592592592592595,28,22,78.57142857142857,43,13,30.23255813953488,23,4,52,9,13,3.5,1,0,230.0,23.0,O,0
20191023,Pacers,Pistons,home,89,41,46.06741573033708,24,20,83.33333333333334,21,8,38.095238095238095,26,6,36,9,15,-7.0,-9,0,211.0,18.0,O,0
20191023,Pistons,Pacers,away,78,41,52.56410256410257,33,26,78.78787878787878,24,11,45.83333333333333,26,6,45,5,18,7.0,9,1,211.0,18.0,O,0
20191023,Seventysixers,Celtics,home,85,37,43.529411764705884,36,26,72.22222222222221,29,7,24.137931034482758,24,7,62,6,15,-6.0,14,1,211.5,-11.5,U,0
20191023,Celtics,Seventysixers,away,90,33,36.666666666666664,34,20,58.82352941176471,26,7,26.923076923076923,18,2,41,4,10,6.0,-14,0,211.5,-11.5,U,0
20191023,Spurs,Knicks,home,83,42,50.602409638554214,36,29,80.55555555555556,21,7,33.33333333333333,22,5,51,6,21,-10.0,9,1,214.5,16.5,O,0
20191023,Knicks,Spurs,away,94,44,46.808510638297875,18,13,72.22222222222221,30,10,33.33333333333333,24,1,39,16,14,10.0,-9,0,214.5,16.5,O,0
20191023,Suns,Kings,home,98,49,50.0,18,15,83.33333333333334,33,11,33.33333333333333,31,9,44,13,14,0.0,29,1,232.5,-13.5,U,0
20191023,Kings,Suns,away,87,34,39.08045977011494,26,17,65.38461538461539,29,10,34.48275862068966,17,5,47,5,26,0.0,-29,0,232.5,-13.5,U,0
20191023,Trailblazers,Nuggets,home,87,36,41.37931034482759,23,21,91.30434782608695,28,7,25.0,13,4,48,9,20,1.0,-8,0,217.0,-9.0,U,0
20191023,Nuggets,Trailblazers,away,81,34,41.9753086419753,27,22,81.48148148148148,32,18,56.25,24,4,45,11,19,-1.0,8,1,217.0,-9.0,U,0
20191024,Pistons,Hawks,home,85,35,41.17647058823529,22,20,90.9090909090909,37,10,27.027027027027028,20,5,39,6,13,-1.0,-17,0,221.5,-4.5,U,1
20191024,Hawks,Pistons,away,86,44,51.162790697674424,21,18,85.71428571428571,31,11,35.483870967741936,27,2,42,9,13,1.0,17,1,221.5,-4.5,U,0
20191024,Rockets,Bucks,home,90,33,36.666666666666664,39,29,74.35897435897436,48,16,33.33333333333333,25,6,57,6,14,-1.5,-6,0,230.0,-2.0,U,0
20191024,Bucks,Rockets,away,99,46,46.464646464646464,18,9,50.0,46,16,34.78260869565217,31,10,53,7,11,1.5,6,1,230.0,-2.0,U,0
20191024,Warriors,Clippers,home,99,39,39.39393939393939,30,29,96.66666666666667,42,15,35.714285714285715,27,0,42,7,13,2.0,-19,0,227.5,35.5,O,0
20191024,Clippers,Warriors,away,80,50,62.5,30,23,76.66666666666667,32,18,56.25,33,5,39,7,17,-2.0,19,1,227.5,35.5,O,1
20191025,Celtics,Raptors,home,109,42,38.53211009174312,16,15,93.75,38,13,34.21052631578947,21,8,56,10,9,-3.0,6,1,216.5,1.5,O,-1
20191025,Raptors,Celtics,away,78,37,47.43589743589743,17,14,82.35294117647058,36,18,50.0,22,6,46,2,23,3.0,-6,0,216.5,1.5,O,1
20191025,Grizzlies,Bulls,home,94,39,41.48936170212766,20,14,70.0,29,10,34.48275862068966,24,6,56,8,18,2.0,-8,0,222.5,-10.5,U,-1
20191025,Bulls,Grizzlies,away,93,40,43.01075268817204,24,18,75.0,42,12,28.57142857142857,18,7,45,14,13,-2.0,8,1,222.5,-10.5,U,-1
20191025,Hornets,Timberwolves,home,84,37,44.047619047619044,26,13,50.0,29,12,41.37931034482759,26,6,42,6,19,5.5,-22,0,226.5,-6.5,U,1
20191025,Timberwolves,Hornets,away,91,43,47.25274725274725,31,23,74.19354838709677,38,12,31.57894736842105,30,6,52,11,15,-5.5,22,1,226.5,-6.5,U,1
20191025,Kings,Trailblazers,home,87,37,42.5287356321839,27,23,85.18518518518519,37,15,40.54054054054054,17,2,43,10,17,2.0,-10,0,227.5,6.5,O,-1
20191025,Trailblazers,Kings,away,85,46,54.11764705882353,22,19,86.36363636363636,30,11,36.666666666666664,23,5,40,8,16,-2.0,10,1,227.5,6.5,O,-1
20191025,Lakers,Jazz,home,86,34,39.53488372093023,24,19,79.16666666666666,26,8,30.76923076923077,19,9,42,14,14,-3.5,9,1,216.0,-35.0,U,-1
20191025,Jazz,Lakers,away,70,29,41.42857142857143,21,20,95.23809523809523,25,8,32.0,19,2,40,8,22,3.5,-9,0,216.0,-35.0,U,1
20191025,Nets,Knicks,home,78,37,47.43589743589743,34,23,67.64705882352942,37,16,43.24324324324324,21,2,46,11,26,-8.0,4,1,225.5,-3.5,U,-1
20191025,Knicks,Nets,away,81,38,46.913580246913575,28,16,57.14285714285714,25,17,68.0,17,4,39,14,26,8.0,-4,0,225.5,-3.5,U,-1
20191025,Nuggets,Suns,home,92,36,39.130434782608695,36,29,80.55555555555556,27,7,25.925925925925924,21,12,45,7,14,-11.0,1,1,220.0,-5.0,U,1
20191025,Suns,Nuggets,away,86,34,39.53488372093023,32,31,96.875,28,8,28.57142857142857,25,1,54,5,17,11.0,-1,0,220.0,-5.0,U,1
20191025,Pelicans,Mavericks,home,98,45,45.91836734693878,15,11,73.33333333333333,41,15,36.58536585365854,30,3,48,6,14,-2.0,-7,0,228.0,11.0,O,-1
20191025,Mavericks,Pelicans,away,93,45,48.38709677419355,26,19,73.07692307692307,40,14,35.0,23,7,49,8,11,2.0,7,1,228.0,11.0,O,1
20191025,Thunder,Wizards,home,83,33,39.75903614457831,22,14,63.63636363636363,23,5,21.73913043478261,14,6,49,7,18,-8.0,-12,0,218.5,-36.5,U,-1
20191025,Wizards,Thunder,away,97,39,40.20618556701031,10,8,80.0,41,11,26.82926829268293,21,6,47,9,15,8.0,12,1,218.5,-36.5,U,-1
20191026,Bucks,Heat,home,94,41,43.61702127659575,35,27,77.14285714285715,54,17,31.48148148148148,22,4,47,8,18,-10.5,-5,1,226.5,30.5,O,1
20191026,Heat,Bucks,away,101,46,45.54455445544555,36,23,63.888888888888886,44,16,36.36363636363637,33,3,54,7,16,10.5,5,0,226.5,30.5,O,1
20191026,Bulls,Raptors,home,97,29,29.896907216494846,25,17,68.0,35,9,25.71428571428571,18,2,45,9,15,3.0,-24,0,219.5,-27.5,U,1
20191026,Raptors,Bulls,away,82,38,46.34146341463415,18,17,94.44444444444444,42,15,35.714285714285715,27,12,59,9,22,-3.0,24,1,219.5,-27.5,U,-1
20191026,Cavaliers,Pacers,home,80,40,50.0,29,19,65.51724137931035,31,11,35.483870967741936,23,7,44,9,18,5.0,11,1,213.5,-4.5,U,-1
20191026,Pacers,Cavaliers,away,87,39,44.827586206896555,13,11,84.61538461538461,28,10,35.714285714285715,23,3,36,7,17,-5.0,-11,0,213.5,-4.5,U,-1
20191026,Hawks,Magic,home,84,43,51.19047619047619,15,8,53.333333333333336,30,9,30.0,22,9,52,5,18,2.5,4,1,216.5,-14.5,U,1
20191026,Magic,Hawks,away,99,35,35.35353535353536,26,24,92.3076923076923,31,5,16.129032258064516,15,7,46,8,10,-2.5,-4,0,216.5,-14.5,U,1
20191026,Jazz,Kings,home,78,44,56.41025641025641,12,7,58.333333333333336,37,18,48.64864864864865,28,1,43,6,21,-9.5,32,1,229.0,-35.0,U,-1
20191026,Kings,Jazz,away,81,30,37.03703703703704,17,14,82.35294117647058,26,7,26.923076923076923,16,3,31,5,17,9.5,-32,0,229.0,-35.0,U,-2
20191026,Knicks,Celtics,home,80,31,38.75,34,26,76.47058823529412,27,7,25.925925925925924,15,4,55,7,25,5.5,-23,0,214.0,-1.0,U,-2
20191026,Celtics,Knicks,away,93,42,45.16129032258064,29,19,65.51724137931035,41,15,36.58536585365854,24,7,45,16,12,-5.5,23,1,214.0,-1.0,U,1
20191026,Pistons,Seventysixers,home,76,41,53.94736842105263,36,21,58.333333333333336,19,8,42.10526315789473,20,7,35,11,23,5.0,-6,0,215.0,13.0,O,-1
20191026,Seventysixers,Pistons,away,87,42,48.275862068965516,30,20,66.66666666666666,34,13,38.23529411764706,30,3,38,14,22,-5.0,6,1,215.0,13.0,O,1
20191026,Rockets,Pelicans,home,94,43,45.744680851063826,30,27,90.0,45,13,28.888888888888886,27,4,45,7,19,-10.5,3,1,239.0,10.0,O,-1
20191026,Pelicans,Rockets,away,100,46,46.0,16,13,81.25,50,18,36.0,27,2,42,9,17,10.5,-3,0,239.0,10.0,O,-2
20191026,Spurs,Wizards,home,108,50,46.2962962962963,17,14,82.35294117647058,28,10,35.714285714285715,29,7,53,6,9,-11.5,2,1,220.0,26.0,O,1
20191026,Wizards,Spurs,away,95,47,49.473684210526315,17,12,70.58823529411765,34,16,47.05882352941176,30,8,41,3,12,11.5,-2,0,220.0,26.0,O,1
20191026,Suns,Clippers,home,86,43,50.0,34,27,79.41176470588235,43,17,39.53488372093023,32,3,49,9,16,10.0,8,0,226.0,26.0,O,-1
20191026,Clippers,Suns,away,87,40,45.97701149425287,39,31,79.48717948717949,32,11,34.375,20,4,41,8,12,-10.0,-8,1,226.0,26.0,O,2
20191027,Grizzlies,Nets,home,103,50,48.54368932038835,25,20,80.0,33,14,42.42424242424242,33,10,49,9,12,4.0,1,0,224.0,43.0,O,-2
20191027,Nets,Grizzlies,away,101,44,43.56435643564357,37,30,81.08108108108108,45,15,33.33333333333333,28,5,53,6,17,-4.0,-1,1,224.0,43.0,O,1
20191027,Lakers,Hornets,home,93,49,52.68817204301075,14,11,78.57142857142857,31,11,35.483870967741936,30,8,47,7,13,-13.0,19,1,216.5,4.5,O,1
20191027,Hornets,Lakers,away,91,35,38.46153846153847,23,21,91.30434782608695,35,10,28.57142857142857,19,4,45,7,14,13.0,-19,0,216.5,4.5,O,-1
20191027,Mavericks,Trailblazers,home,94,37,39.361702127659576,41,32,78.04878048780488,50,13,26.0,27,3,46,7,11,-1.5,-2,0,222.0,18.0,O,2
20191027,Trailblazers,Mavericks,away,87,45,51.724137931034484,26,22,84.61538461538461,22,9,40.909090909090914,13,4,48,6,16,1.5,2,1,222.0,18.0,O,1
20191027,Thunder,Warriors,home,79,44,55.69620253164557,22,17,77.27272727272727,32,15,46.875,24,5,50,8,22,0.0,28,1,223.0,-11.0,U,-2
20191027,Warriors,Thunder,away,92,30,32.608695652173914,31,27,87.09677419354838,33,5,15.151515151515152,17,3,40,12,14,0.0,-28,0,223.0,-11.0,U,-1
20191027,Timberwolves,Heat,home,91,39,42.857142857142854,33,25,75.75757575757575,45,13,28.888888888888886,24,1,46,12,16,-6.5,7,1,224.5,0.5,O,2
20191027,Heat,Timberwolves,away,85,42,49.411764705882355,15,10,66.66666666666666,36,15,41.66666666666667,25,9,41,7,21,6.5,-7,0,224.5,0.5,O,2
20191028,Bucks,Cavaliers,home,92,48,52.17391304347826,24,16,66.66666666666666,38,17,44.73684210526316,29,7,50,9,12,-15.5,17,1,224.0,17.0,O,-1
20191028,Cavaliers,Bucks,away,100,45,45.0,12,10,83.33333333333334,39,12,30.76923076923077,19,3,48,2,11,15.5,-17,0,224.0,17.0,O,1
20191028,Clippers,Hornets,home,83,40,48.19277108433735,21,19,90.47619047619048,33,12,36.36363636363637,23,8,44,11,21,-15.5,15,1,225.5,-18.5,U,-1
20191028,Hornets,Clippers,away,83,36,43.373493975903614,14,10,71.42857142857143,39,14,35.8974358974359,24,3,38,5,21,15.5,-15,0,225.5,-18.5,U,-2
20191028,Hawks,Seventysixers,home,84,36,42.857142857142854,32,22,68.75,27,9,33.33333333333333,23,3,45,12,21,4.5,-2,0,221.0,-13.0,U,2
20191028,Seventysixers,Hawks,away,88,37,42.04545454545455,25,20,80.0,41,11,26.82926829268293,22,11,49,12,21,-4.5,2,1,221.0,-13.0,U,2
20191028,Kings,Nuggets,home,91,36,39.56043956043956,16,10,62.5,37,12,32.432432432432435,25,8,48,6,12,6.0,-7,0,217.5,-22.5,U,-3
20191028,Nuggets,Kings,away,98,36,36.734693877551024,21,19,90.47619047619048,36,10,27.77777777777778,19,5,54,8,10,-6.0,7,1,217.5,-22.5,U,2
20191028,Knicks,Bulls,home,91,38,41.75824175824176,32,20,62.5,29,9,31.03448275862069,19,6,63,3,17,1.0,7,1,222.0,-19.0,U,-3
