date,team,o:team,site,field goals attempted,field goals made,field goal %,free throws attempted,free throws made,free throw %,three pointers attempted,three pointers made,three point %,assists,blocks,rebounds,steals,turnovers,line,margin,ats outcome,total,ou margin,ou outcome,streak
20191024,Pistons,Hawks,home,78.0,41.0,52.564102564102576,33.0,26.0,78.78787878787878,24.0,11.0,45.83333333333333,26.0,6.0,45.0,5.0,18.0,-1.0,-17,0,221.5,-4.5,U,1
20191024,Clippers,Warriors,away,81.0,42.0,51.851851851851855,24.0,17.0,70.83333333333334,31.0,11.0,35.483870967741936,24.0,5.0,45.0,8.0,14.0,-2.0,19,1,227.5,35.5,O,1
20191025,Hornets,Timberwolves,home,88.0,45.0,51.13636363636363,16.0,13.0,81.25,44.0,23.0,52.27272727272727,28.0,4.0,41.0,3.0,19.0,5.5,-22,0,226.5,-6.5,U,1
20191025,Grizzlies,Bulls,home,89.0,38.0,42.69662921348314,30.0,20.0,66.66666666666666,32.0,5.0,15.625,22.0,7.0,40.0,9.0,24.0,2.0,-8,0,222.5,-10.5,U,-1
20191025,Mavericks,Pelicans,away,76.0,35.0,46.05263157894736,33.0,27.0,81.81818181818183,36.0,11.0,30.555555555555557,17.0,5.0,46.0,6.0,19.0,2.0,7,1,228.0,11.0,O,1
20191025,Nets,Knicks,home,101.0,48.0,47.524752475247524,26.0,15.0,57.69230769230769,34.0,15.0,44.11764705882353,19.0,9.0,48.0,8.0,16.0,-8.0,4,1,225.5,-3.5,U,-1
20191025,Nuggets,Suns,home,81.0,34.0,41.975308641975296,27.0,22.0,81.48148148148148,32.0,18.0,56.25,24.0,4.0,45.0,11.0,19.0,-11.0,1,1,220.0,-5.0,U,1
20191025,Suns,Nuggets,away,98.0,49.0,50.0,18.0,15.0,83.33333333333334,33.0,11.0,33.33333333333333,31.0,9.0,44.0,13.0,14.0,11.0,-1,0,220.0,-5.0,U,1
20191025,Knicks,Nets,away,94.0,44.0,46.80851063829788,18.0,13.0,72.2222222222222,30.0,10.0,33.33333333333333,24.0,1.0,39.0,16.0,14.0,8.0,-4,0,225.5,-3.5,U,-1
20191025,Trailblazers,Kings,away,87.0,36.0,41.379310344827594,23.0,21.0,91.30434782608695,28.0,7.0,25.0,13.0,4.0,48.0,9.0,20.0,-2.0,10,1,227.5,6.5,O,-1
20191025,Raptors,Celtics,away,103.0,42.0,40.77669902912621,38.0,32.0,84.21052631578947,40.0,14.0,35.0,23.0,3.0,57.0,7.0,16.0,3.0,-6,0,216.5,1.5,O,1
20191025,Jazz,Lakers,away,90.0,40.0,44.444444444444436,20.0,14.0,70.0,24.0,6.0,25.0,15.0,5.0,49.0,4.0,11.0,3.5,-9,0,216.0,-35.0,U,1
20191025,Thunder,Wizards,home,83.0,32.0,38.55421686746988,31.0,21.0,67.74193548387096,27.0,10.0,37.03703703703704,15.0,4.0,48.0,5.0,13.0,-8.0,-12,0,218.5,-36.5,U,-1
20191025,Timberwolves,Hornets,away,108.0,46.0,42.5925925925926,28.0,22.0,78.57142857142857,43.0,13.0,30.232558139534877,23.0,4.0,52.0,9.0,13.0,-5.5,22,1,226.5,-6.5,U,1
20191025,Lakers,Jazz,home,85.0,37.0,43.529411764705884,21.0,15.0,71.42857142857143,33.0,13.0,39.39393939393939,20.0,7.0,41.0,4.0,14.0,-3.5,9,1,216.0,-35.0,U,-1
20191025,Bulls,Grizzlies,away,105.0,49.0,46.66666666666666,22.0,18.0,81.81818181818183,30.0,9.0,30.0,25.0,4.0,49.0,11.0,10.0,-2.0,8,1,222.5,-10.5,U,-1
